Country;Year;Code;Share of one person households;GDP per Capita (current US$;Population;Marriage rate (per 1.000);Divorce rate (per 1.000)
Serbia;2013;SRB;22,2;6755,07367461629;7164132,0;5,1;1,1
Serbia;2014;SRB;22,3;6600,05621129155;7130576,0;5,1;1,1
Serbia;2015;SRB;22,3;5588,9794435877;7095383,0;5,2;1,3
Serbia;2016;SRB;22,3;5765,20335248009;7058322,0;5,1;1,3
Serbia;2017;SRB;22,4;6292,5465490011;7020858,0;5,1;1,3
Serbia;2018;SRB;22,3;7252,40366767165;6982604,0;;
Slovenia;2000;;0;;;;
Slovenia;2001;;0;;;;
Slovenia;2002;;0;;;;
Slovenia;2003;;0;;;;
Slovenia;2004;;0;;;;
Slovenia;2005;SVN;21,3;18098,9085440003;2000474,0;2,9;1,3
Slovenia;2006;SVN;20,4;19672,9655554146;2006868,0;3,2;1,2
Slovenia;2007;SVN;20,8;23817,8867320201;2018122,0;3,2;1,3
Slovenia;2008;SVN;20,8;27595,5999653992;2021316,0;3,3;1,1
Slovenia;2009;SVN;20,8;24792,1279805504;2039669,0;3,2;1,1
Slovenia;2010;SVN;27;23532,4808545468;2048583,0;3,2;1,2
Slovenia;2011;SVN;27,6;25128,0150431304;2052843,0;3,2;1,1
Slovenia;2012;SVN;28,9;22641,805122503;2057159,0;3,4;1,2
Slovenia;2013;SVN;29,7;23503,2824850255;2059953,0;3;1,1
Slovenia;2014;SVN;29,2;24247,1733184083;2061980,0;3,2;1,2
Slovenia;2015;SVN;29,3;20890,1664304173;2063531,0;3,1;1,2
Slovenia;2016;SVN;30,3;21678,3594670629;2065042,0;3,2;1,2
Slovenia;2017;SVN;29,7;23514,0254604147;2066388,0;3,1;1,2
Slovenia;2018;SVN;29,6;26123,7471277911;2073894,0;;
Spain;2000;;0;;;;
Spain;2001;;0;;;;
Spain;2002;;0;;;;
Spain;2003;;0;;;;
Spain;2004;ESP;23,2;24907,0008505856;42921895,0;5;1,2
Spain;2005;ESP;21,7;26429,1509449319;43653155,0;4,7;1,7
Spain;2006;ESP;22;28389,0785799873;44397319,0;4,5;2,9000001
Spain;2007;ESP;22;32591,3503065871;45226803,0;4,4;2,8
Spain;2008;ESP;22,2;35510,7222312701;45954106,0;4,2;2,4000001
Spain;2009;ESP;22,4;32169,5028548583;46362946,0;3,7;2,0999999
Spain;2010;ESP;22,6;30532,4805081656;46576897,0;3,6;2,2
Spain;2011;ESP;22,9;31677,9003083652;46742697,0;3,4;2,2
Spain;2012;ESP;23,2;28322,9465923276;46773055,0;3,5;2,2
Spain;2013;ESP;23,5;29077,1820557563;46620045,0;3,3;2
Spain;2014;ESP;24,6;29513,6511800405;46480882,0;3,4;2,2
Spain;2015;ESP;25,2;25754,36102944;46444832,0;3,6;2,0999999
Spain;2016;ESP;25,4;26537,1594894542;46484062,0;3,7;2,0999999
Spain;2017;ESP;25,6;28185,3213671969;46593236,0;3,7;2,0999999
Spain;2018;ESP;25,5;30379,7211126422;46797754,0;;
Sweden;2000;;0;;;;
Sweden;2001;;0;;;;
Sweden;2002;;0;;;;
Sweden;2003;;0;;;;
Sweden;2004;SWE;41,7;42821,6731423358;8993531,0;4,8;2,2
Sweden;2005;SWE;41,8;43437,0631164776;9029572,0;4,9;2,2
Sweden;2006;SWE;41,3;46593,6021646111;9080505,0;5;2,2
Sweden;2007;SWE;39,5;53700,0053363063;9148092,0;;2,3
Sweden;2008;SWE;40,2;56152,552340314;9219637,0;5,5;2,3
Sweden;2009;SWE;43,4;46946,9602719954;9298515,0;5,1;2,4000001
Sweden;2010;SWE;41,1;52869,0442891587;9378126,0;5,3;2,5
Sweden;2011;SWE;40,7;60755,7595508465;9449213,0;5;2,5
Sweden;2012;SWE;40,8;58037,8213192173;9519374,0;5,3;2,5
Sweden;2013;SWE;41,8;61126,9431963979;9600379,0;5,4;2,8
Sweden;2014;SWE;41,7;60020,3604576572;9696110,0;5,5;2,7
Sweden;2015;SWE;41,6;51545,4836095322;9799186,0;5,3;2,5
Sweden;2016;SWE;41,9;51965,1571531985;9923085,0;5,4;2,4000001
Sweden;2017;SWE;41,2;53791,5087298403;10057698,0;5,2;2,4000001
Sweden;2018;SWE;42,5;54589,0603860606;10175214,0;;
Switzerland;2000;;0;;;;
Switzerland;2001;;0;;;;
Switzerland;2002;;0;;;;
Switzerland;2003;;0;;;;
Switzerland;2004;;0;;;;
Switzerland;2005;;0;;;;
Switzerland;2006;;0;;;;
Switzerland;2007;CHE;31,2;64989,1553256031;7551117,0;5,3;2,5999999
Switzerland;2008;CHE;31,1;74175,1927898555;7647675,0;5,4;2,5999999
Switzerland;2009;CHE;31,9;71568,3123885672;7743831,0;5,4;2,5
Switzerland;2010;CHE;31,3;76531,3729407691;7824909,0;5,5;2,8
Switzerland;2011;CHE;32,3;90476,7589651577;7912398,0;5,3;2,2
Switzerland;2012;CHE;31,9;85836,2076767359;7996861,0;5,3;2,2
Switzerland;2013;CHE;31,7;87304,3305813557;8089346,0;4,9;2,0999999
Switzerland;2014;CHE;36,5;88724,9909402638;8188649,0;5,1;2
Switzerland;2015;CHE;37,5;83806,4476003837;8282396,0;5;2,0999999
Switzerland;2016;CHE;37,8;82153,0745447889;8373338,0;5;2
Switzerland;2017;CHE;37,9;82254,3769269767;8451840,0;4,8;1,9
Switzerland;2018;CHE;38,1;85217,3691512274;8514329,0;;
United States;2000;USA;25,52313614;36329,9702595751;282162411,0;8,300000191;4,0999999
United States;2001;USA;26,06714821;37133,6203973517;284968955,0;8,199999809;4
United States;2002;USA;26,3273468;37997,7424300242;287625193,0;7,800000191;3,9000001
United States;2003;USA;26,44817543;39490,3023903176;290107933,0;7,699999809;3,8
United States;2004;USA;26,41607094;41724,6411982614;292805298,0;7,800000191;3,7
United States;2005;USA;26,58920288;44123,3996470026;295516599,0;7,599999905;3,5999999
United States;2006;USA;26,62347794;46301,9876485519;298379912,0;7,5;3,7
United States;2007;USA;26,83538628;48050,227412195;301231207,0;7,300000191;3,5999999
United States;2008;USA;27,54424858;48570,0594269601;304093966,0;7,099999905;3,5
United States;2009;USA;27,01547241;47194,9500893872;306771529,0;6,800000191;3,5
United States;2010;USA;26,71391296;48650,6643227232;309327143,0;6,800000191;3,5999999
United States;2011;USA;27,53341675;50065,9789470675;311583481,0;6,800000191;3,5999999
United States;2012;USA;27,40907097;51784,4114692048;313877662,0;6,800000191;3,4000001
United States;2013;USA;27,4132576;53409,7507774372;316059947,0;6,800000191;3,3
United States;2014;USA;27,74103546;55304,3155317137;318386329,0;6,900000095;3,2
United States;2015;USA;27,98526382;57040,2082136605;320738994,0;6,900000095;3,0999999
United States;2016;USA;28,12611771;58206,6141931844;323071755,0;7;3
United States;2017;USA;27,92812729;60322,2614241747;325122128,0;6,900000095;2,9000001
United States;2018;USA;28,01247787;63201,0458483771;326838199,0;6,5;2,9000001
